Contract Description,Vendor Name,Amount,Start Date,Contract No.,C.O. No.,Line No,SOA No.,Department,Contract Type,Tender Class,Community,Type,Fiscal Year
130140 P205/65/15 TOYO GSI5 WINTER 45544/42131/554983/1A/KC,YUKON TIRE CENTRE INC         ,$775.00,2012-03-23,170929,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
63126 NUT DIFF CASE NEST 09513/R23182/1HD,INLAND KENWORTH               ,$208.00,2012-03-28,170933,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
3824078 CRANK SLEEVE TOOL 11847/SHOP/1T,INLAND KENWORTH               ,$291.00,2012-03-23,170936,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
15W40-20ROTELLA 15W40 OIL 20L 90419/99001/5,INLAND KENWORTH               ,$700.00,2012-03-23,170941,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
15W40-ROTELLA OIL 20L 3524/99001/18,INLAND KENWORTH               ,$650.00,2012-03-23,170941,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
15W40-20ROTELLA 15W40 OIL 20L 9213/99000/7,INLAND KENWORTH               ,$390.00,2012-03-23,170941,,10,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"R502814 GASKET, THERMSTAT *P1* 07725/R56559/11 TK DAWSON",BRANDT TRACTOR LTD            ,$3.00,2012-03-23,170945,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"83-8001 LOOM, 1/2"" 10141/46204/60792/1A",UAP INC                       ,$9.00,2012-03-28,170948,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"12724552 ALTERNATOR, NEW 09210/R23192/7",INLAND KENWORTH               ,"$1,877.00",2012-03-26,170949,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
5151HK-16 FLANGE ASSY. KIT 09182/T21303/1HD,CDYKPUMP,$16.00,2012-03-28,170955,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
12630223 W/P GASKETS 10196/45010/060882/1A,KLONDIKE MOTORS INC O/A       ,$14.00,2012-03-28,170960,,8,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
1-90384700 O-RING 10466/57360/061049/1A,CDYKEXPLOSIV,$6.00,2012-03-08,170783,,11,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
6-020201 ROTARY SWITCH 10490/57369/061599/1A,CDYKEXPLOSIV,$118.00,2012-03-08,170783,,27,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
WICOUP-125 1-1/4 COUPLER 12261/11255/R11255/1HD,AJAX STEEL LIMITED            ,$4.00,2012-03-08,170784,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"WICOUP-100 1"" COUPLER 12261/11255/R11255/1HD",AJAX STEEL LIMITED            ,$8.00,2012-03-08,170784,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
832532 TERMINALS 10135/OSS/060774/1A,UAP INC                       ,$18.00,2012-03-09,170787,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"838003 1/4"" LOOM 10311/20734/060716/1A",UAP INC                       ,$7.00,2012-03-09,170787,,8,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
82-6713 6 GAUGE RED CABLE 10395/18254/060919/1A,UAP INC                       ,$80.00,2012-03-09,170787,,34,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"838000 3/8"" LOOM 10395/18254/060919/1A",UAP INC                       ,$8.00,2012-03-09,170787,,35,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"KMB34644 KIT, LENS CLN 02291/CAMP/25 MP OLD CROW",CDACKLANDSWH,$27.00,2012-03-08,170792,,8,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"WSWFLP4DA FLASHLIGHT, WATERPROOF 07890/T60800/6 MW DAWSON",CDACKLANDSWH,$23.00,2012-03-08,170792,,10,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"AT74427 MOTOR, HTR 07938/R21314/16 TC STEWART",BRANDT TRACTOR LTD            ,$455.00,2012-03-08,170796,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
POWER BAR 07489/SHOP/6 EB DAWSON,DAWSON HARDWARE LTD           ,$30.00,2012-03-09,170797,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
5Y2-038 (NX82850004) CONTROLLER 02245/R56556/6 MV DAWSON,INDUSTRIAL ELECTRIC SERVICES  ,$978.00,2012-03-09,170798,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
15228539 TAILGATE HANDLE BEZEL 12054/46120/060905/1A,KLONDIKE MOTORS INC O/A       ,$34.00,2012-03-28,170960,,25,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
15932261 TAILGATE PROTECTOR 12054/46120/060905/1A,KLONDIKE MOTORS INC O/A       ,$126.00,2012-03-28,170960,,26,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
8016737 MASTER KEY DRILL CHUCK 08785/0214-35/1T,PRINCESS AUTO LTD             ,$24.00,2012-03-28,170961,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
LAMP HOUSING,UAP INC                       ,$252.00,2012-03-28,170963,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
320001358 20L-GEAR 80W90 OIL .03531/R23709/17,FINNING INTERNATIONAL INC     ,$109.00,2012-03-28,170965,,9,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
19243-8-8 FEMALE SWIVEL 09728/T52119/1HD/9,CDYKPUMP,$17.00,2012-03-28,170966,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
ROCKMASTER 12-08 HOSE 09728/T52119/1HD/9,CDYKPUMP,$72.00,2012-03-28,170966,,7,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"391D-D SENDER, FUEL LEVEL 13701/T30209/6 JORDAN DAWSON",TERRITORIAL AUTO PARTS        ,$66.00,2012-03-29,170975,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
JCB3651 KEY K3 08785/0214-35/1T,CDACKLANDSWH,$10.00,2012-03-30,170979,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"LNX21070 BLADE METAL 8"" X 3/4"" X 0.35 09631/99000/1T",CDACKLANDSWH,$68.00,2012-03-30,170979,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
NONFMMILLBE BEANIE WELDERS 09634/99000/1T,CDACKLANDSWH,$7.00,2012-03-30,170979,,7,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
DGN-CNR-S ARRESTOR OXY. 08794/99000/1WB,CDACKLANDSWH,$168.00,2012-03-30,170979,,13,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"3908563 SLEEVE, ALT PULLEY 07984/T25009/6 TC DAWSON",INLAND KENWORTH               ,$16.00,2012-03-30,170981,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
DYC 80407 HOSE 3515/R23159/18,CDACKLANDSWH,$56.00,2012-02-17,170622,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
UNWWTC5 TIP CLEANERS 9430/99000/1T,CDACKLANDSWH,$25.00,2012-02-17,170622,,12,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
MMM 05528 ROLOC DISCS 9430/99000/1T,CDACKLANDSWH,$114.00,2012-02-17,170622,,13,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"UPS34872 SEAL, P/S PUMP 07821/R20696/6 DAWSON",UAP INC                       ,$4.00,2012-02-17,170623,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
20053 SEAL *P1* 08088/R060586/50185/6 DAWSON,UAP INC                       ,$40.00,2012-02-17,170623,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
550023682 5W30 4LTR 87468/99001/11 RF KLONDIKE,UAP INC                       ,$270.00,2012-02-17,170623,,7,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
MDEL2220W30-P 07823/99001/6 DAWSON,AFD PETROLEUM LTD             ,$640.00,2012-02-18,170624,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"LIGHT, LIGHTFORCE STRIKER 170 DRIVING",PACESETTER TRADING COMPANY    ,$363.00,2012-02-20,170635,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"FILTER, OIL",UAP INC                       ,$120.00,2012-02-20,170646,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"FILTER, OIL",UAP INC                       ,$140.00,2012-02-20,170646,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"FILTER, AIR",UAP INC                       ,$14.00,2012-02-20,170646,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"STROBE LIGHT, GROTE AMBER",UAP INC                       ,$252.00,2012-02-20,170647,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"FILTER, HYDRAULIC",FINNING INTERNATIONAL INC     ,$690.00,2012-02-20,170650,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"FILTER, OIL",CDWHHSUBARU,$32.00,2012-02-20,170651,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
SEAL KIT,INLAND KENWORTH               ,$170.00,2012-02-20,170652,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"TAPERLOCK BUSHING 3 5/8"" (13-15)",QUALITY BEARING SUPPLY LTD    ,$125.00,2012-02-21,170655,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"BLU-28411M SENSOR, MASS AIR FLOW 75623/060837/46082/6 ST DAWSON",UAP INC                       ,$158.00,2012-03-09,170802,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
EP28 FLASHER 02104/060856/42092/25 MV DAWSON,UAP INC                       ,$18.00,2012-03-09,170802,,6,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
1310 03 2503 SWITCH LOW LIQUID LEVEL 01323/R34100/1HD,ATLAS COPCO CANADA INC O/A    ,$86.00,2012-03-12,170804,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
0148-42 30W NON-DETERGENT 07756/060699/57385/6 MV DAWSON,NORTHERN SUPERIOR MECHANICAL  ,$63.00,2012-03-12,170806,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
10506B-104 FITTING 07947/99002/6 TC DAWSON,NORTHERN SUPERIOR MECHANICAL  ,$6.00,2012-03-12,170806,,6,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
8015FR GLOVES *P1* 02290/CAMP/25 MP OLD CROW,NORTHERN SUPERIOR MECHANICAL  ,$28.00,2012-03-12,170806,,10,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"600141 BLADE, 14"" WIPER 07771/060927/10272/6 DAWSON",NORTHERN SUPERIOR MECHANICAL  ,$12.00,2012-03-12,170806,,12,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"H459 HOSE, W/W 07612/T11263/6 RG DAWSON",NORTHERN SUPERIOR MECHANICAL  ,$10.00,2012-03-12,170806,,16,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
55339 BUSHING 05767/CAMP/12 CH MAYO,NORTHERN SUPERIOR MECHANICAL  ,$7.00,2012-03-12,170806,,19,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
C3109X6X4 FTG. 09608/99002/1T,UAP INC                       ,$4.00,2012-03-12,170807,,13,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
G1033 AMBER LED MARKER LAMPS 70676/R15278/10,UAP INC                       ,$24.00,2012-03-12,170808,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
54142 TORSION LED STOP/TURN/TAIL LAMP 70676/R15278/10,UAP INC                       ,$96.00,2012-03-12,170808,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
46412 LAMPS 9710/T52464/1HD,UAP INC                       ,$10.00,2012-03-12,170808,,9,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
84-2013 terminals 3543/99000/18,UAP INC                       ,$18.00,2012-03-12,170808,,23,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
UNR 257330 BELT 5326/R91123/24,UAP INC                       ,$14.00,2012-03-12,170814,,6,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
550026711 HYDRAULIC OIL 20L 90417/99001/5,UAP INC                       ,$220.00,2012-03-12,170814,,9,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
DW1341 WINDSHIELD SUPPLY & INSTALL 10125/46083/060639/1A INV # 2393,JODY SHEA O/A                 ,$300.00,2012-02-21,170656,,7,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
780600350 225/50R17 G/Y ULTRA GRIP ICE 45514/40299/554637/1A/KC,GOODYEAR CANADA INC           ,$932.00,2012-03-02,170658,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
YTG TIRE TAX 45514/40299/554637/1A/KC,GOODYEAR CANADA INC           ,$20.00,2012-03-02,170658,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"SLIDE BUSHING, ON TRIP 1 3/8""X 1""X 2 1/2""",GOVERNMENT O,$672.00,2012-02-21,170662,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
YTG TIRE TAX 45520/40303/554613/1A/KC,GOODYEAR CANADA INC           ,$20.00,2012-03-05,170663,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
YTG TIRE TAX 07751/060641/06/KC,FOUNTAIN TIRE LTD             ,$10.00,2012-02-21,170667,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
1P0451 GASKET 08926/R21304/1HD,FINNING INTERNATIONAL INC     ,$10.00,2012-02-22,170672,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
1P1255 GASKET 08926/R21304/1HD,FINNING INTERNATIONAL INC     ,$1.00,2012-02-22,170672,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
3K0360 SEAL 08926/R21304/1HD,FINNING INTERNATIONAL INC     ,$1.00,2012-02-22,170672,,6,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
OR3418 INJECTOR FUEL ENGINE 08926/R21304/1HD,FINNING INTERNATIONAL INC     ,$508.00,2012-02-22,170672,,7,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
9X3973 SEAL 08926/R21304/1HD,FINNING INTERNATIONAL INC     ,$22.00,2012-02-22,170672,,10,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
235414 COUPLING KIT GRACO 09181/R34100/1HD,CDNIS,$778.00,2012-02-22,170675,,7,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"20' X 3/4"" TOW CABLE THIMBLED EYES 87285/5300/19",CDNIS,$172.00,2012-02-22,170675,,11,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
EC1630103. EXT COED 10134/20738/060721/1A,UAP INC                       ,$5.00,2012-02-22,170676,,9,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
EC1630103 EXT CORD 09943/20740/060723/1A,UAP INC                       ,$5.00,2012-02-22,170676,,10,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
EC1630103** EXT CORD 1M 09948/20729/060711/1A,UAP INC                       ,$5.00,2012-02-22,170676,,17,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
36285 FRONT WHEEL SEALS 08595/90020/060803/1A,UAP INC                       ,$110.00,2012-02-22,170676,,22,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
220177 IDLE AIR CONTROL VALVE 10380/43067/060809/1A,UAP INC                       ,$128.00,2012-02-22,170676,,28,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
MS16124 EXH MAN GASKET SET 10196/45010/060882/1A,UAP INC                       ,$16.00,2012-02-22,170676,,30,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
NP640324 WHEEL BRNG OUTER CUP 10319/T20541/1A,UAP INC                       ,$15.00,2012-02-22,170676,,32,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
550023681 5W20 OIL 5L 90419/99001/5,UAP INC                       ,$54.00,2012-03-12,170814,,14,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
8 RIB POLY VBELT,PACESETTER TRADING COMPANY    ,$120.00,2012-03-13,170818,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
MINIATURE BULB,CDNIS,$20.00,2012-03-13,170829,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
LAMPS-RED,UAP INC                       ,$15.00,2012-03-13,170833,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
LENS,UAP INC                       ,$9.00,2012-03-13,170833,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
FILTER FUEL,UAP INC                       ,$63.00,2012-03-13,170834,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"HANGER, SPRING MOUNT MUD FLAP DO NOT SUB WITH BETTS B25",INLAND KENWORTH               ,$154.00,2012-03-13,170840,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"FLUID, DIESEL EXHAUST (DEF) DRUM",INLAND KENWORTH               ,$696.00,2012-03-13,170840,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"COIL, 24V",INLAND KENWORTH               ,$168.00,2012-03-13,170841,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"12589867 SENSOR, KNOCK 07767/060837/46082/6 MV DAWSON",KLONDIKE MOTORS INC O/A       ,$148.00,2012-03-13,170847,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
75X100X12DL SEAL 14179/T18246/1A,QUALITY BEARING SUPPLY LTD    ,$15.00,2012-02-22,170677,,21,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
5-188QG U-JOINT 14366/T52806/1C,QUALITY BEARING SUPPLY LTD    ,$80.00,2012-02-22,170677,,26,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"STEEL,2X1X3/16 07824/060614/56500/6",AJAX STEEL LIMITED            ,$24.00,2012-03-02,170678,,27,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"STEEL,3X3X1/4 07824/060614/56500/6",AJAX STEEL LIMITED            ,$390.00,2012-03-02,170678,,34,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
AF4878 AIR FILTER 10457/90123/060961/1C,INLAND KENWORTH               ,$32.00,2012-02-22,170679,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
K066405 FRONT ENG. BUSHING 10457/90123/060961/1A,INLAND KENWORTH               ,$84.00,2012-02-22,170679,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
157098 VALVE -SHUTOFF 10499/56571/061058/1C,INLAND KENWORTH               ,$80.00,2012-02-22,170679,,9,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"NT10006BK100 HOSE, SYNFLEX 07932/R15280/6 TC DAWSON",NORTHERN SUPERIOR MECHANICAL  ,$50.00,2012-02-22,170680,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"NLE791-2290 JACK, TALL BOTTLE 08091/SHOP/6 DAWSON",NORTHERN SUPERIOR MECHANICAL  ,$90.00,2012-02-22,170680,,12,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
312249027 LT245/75R16 G/Y DURO TRAC 45523/46083/554590/1A/KC,GOODYEAR CANADA INC           ,"$1,090.00",2012-02-29,170681,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"TIRE, 11R24.5 BANDAG RTP RECAP",KAL TIRE                      ,"$1,855.00",2012-02-23,170683,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
 30034 HOLESAW 9639/99000/1T,AJAX STEEL LIMITED            ,$38.00,2012-02-27,170688,,8,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
30056 HOLESAW 9639/99000/1T,AJAX STEEL LIMITED            ,$48.00,2012-02-27,170688,,9,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
NN-3/8-1 NEEDLE VALVE 5332/528036/60997/24,AJAX STEEL LIMITED            ,$90.00,2012-02-27,170688,,11,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"11-BP-4009NC-XC NOZZLE, GAS 07835/CAMP/6 DAWSON",AJAX STEEL LIMITED            ,$182.00,2012-02-27,170689,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
19210691*`A/C BELT 10180/20742/060725/1A,KLONDIKE MOTORS INC O/A       ,$54.00,2012-03-05,170691,,7,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
10124 SEAL MOTOR SHAFT END 09093/16252/060458/1HD,QUALITY BEARING SUPPLY LTD    ,$10.00,2012-03-13,170848,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
8C3Z-5F250-J CATALYTIC CONVERTOR ASSY 10318/T20541/1A,WHITEHORSE MOTORS LIMITED     ,"$1,530.00",2012-03-13,170849,,10,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
F81Z-1243-AA FR INNER WHEEL BRNG CUP 10319/T20541/1A,WHITEHORSE MOTORS LIMITED     ,$25.00,2012-03-13,170849,,14,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
8L8Z-16A550-BA REAR MUDFLAPS 12151/32006/060756/1A,WHITEHORSE MOTORS LIMITED     ,$35.00,2012-03-13,170849,,17,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
KEY CUT CHARGE FOR LINE #19 10394/18254/060919/1A,WHITEHORSE MOTORS LIMITED     ,$5.00,2012-03-13,170849,,20,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
CVC-3-B2 FORD ORANGE ANTIFREEZE 10331/32003/060753/1A,WHITEHORSE MOTORS LIMITED     ,$21.00,2012-03-13,170849,,29,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
1L3Z-13550-BA LH LICENSE LIGHT 13053/46203/061026/1A,WHITEHORSE MOTORS LIMITED     ,$23.00,2012-03-13,170849,,30,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
71152 SIGN 05778.T21326/12 CH MAYO,UAP INC                       ,$32.00,2012-03-14,170856,,13,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
ENVIRO CHARGE LINE 1 08595/90020/060803/1A,EDMONTON BRAKE & CLUTCH LTD   ,$10.00,2012-03-14,170858,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
28365FE001 STUD 10284/47624/060795/1A,CDWHHSUBARU,$5.00,2012-03-15,170862,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
89730-2G000 REAR SEAT RELEASE HANDLE 13154/40292/061247/1A,CDWHHSUBARU,$225.00,2012-03-15,170862,,11,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
15946733 RF WHEEL HUB ASSY W SENSOR 10363/R20677/1A,KLONDIKE MOTORS INC O/A       ,$291.00,2012-03-05,170691,,10,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
89019320 HEATER BLOWER MOTOR 10381/R20678/1A,KLONDIKE MOTORS INC O/A       ,$233.00,2012-03-05,170691,,26,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
BEARING CONE,PACESETTER TRADING COMPANY    ,$30.00,2012-02-27,170692,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
BEARING CUP,PACESETTER TRADING COMPANY    ,$14.00,2012-02-27,170692,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
FUEL NOZZLE 7.0 GPH 30*HV,CDNIS,$48.00,2012-02-27,170695,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
AIR FILTER PRIMARY,UAP INC                       ,$190.00,2012-02-27,170700,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"BLADE, 22"" ACCU FIT WIPER HOOK TYPE",UAP INC                       ,$273.00,2012-02-27,170701,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
"LAMP, STT, 12V INCANDESCENT",UAP INC                       ,$8.00,2012-02-27,170702,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2011-12
