Contract Description,Vendor Name,Amount,Start Date,Contract No.,C.O. No.,Line No,SOA No.,Department,Contract Type,Tender Class,Community,Type,Fiscal Year
"SEAL, REAR WHEEL",536550 YUKON INC O/A          ,$165.46,2025-05-05,244872,,4,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"15295840, HOSE, POWER STEERING",536550 YUKON INC O/A          ,$170.51,2025-05-07,244909,,1,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"15295853, HOSE, POWER STEERING",536550 YUKON INC O/A          ,$164.07,2025-05-07,244909,,2,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"15804952, HOSE, LOW PRESSURE, POWER STEERING",536550 YUKON INC O/A          ,$168.59,2025-05-07,244909,,3,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"10953471, ATF, 1L BOTTLE",536550 YUKON INC O/A          ,$49.14,2025-05-07,244909,,4,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"84626752, PRESSURE HOSE, PS",536550 YUKON INC O/A          ,$99.72,2025-05-07,244921,,1,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"12609719, TENSIONER, BELT",536550 YUKON INC O/A          ,$185.10,2025-05-07,244921,,2,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"12669569, PULLEY, IDLER",536550 YUKON INC O/A          ,$131.98,2025-05-07,244921,,3,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"23251102, HOSE, PS",536550 YUKON INC O/A          ,$89.53,2025-05-07,244921,,4,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"23223118, HOSE, PS",536550 YUKON INC O/A          ,$80.16,2025-05-07,244921,,5,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"23251100, PIPE, PS",536550 YUKON INC O/A          ,$51.14,2025-05-07,244921,,6,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"15604964, CLIP, HOSE",536550 YUKON INC O/A          ,$7.05,2025-05-07,244921,,7,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"11516885, BOLT, PS PUMP",536550 YUKON INC O/A          ,$9.08,2025-05-07,244921,,8,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"20889025, SEAL, REAR AXLE",536550 YUKON INC O/A          ,$165.46,2025-05-08,244922,,1,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"19428007, PAD SET, REAR BRAKE",536550 YUKON INC O/A          ,$129.79,2025-05-08,244922,,2,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"12680072, SPARK PLUG",536550 YUKON INC O/A          ,$165.44,2025-05-08,244922,,3,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"12699382, IGNITION COIL",536550 YUKON INC O/A          ,$468.74,2025-05-08,244922,,4,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"12738849, INJECTOR, FUEL",536550 YUKON INC O/A          ,$850.56,2025-05-08,244922,,5,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
12622055 ENG OIL DIPSTICK,536550 YUKON INC O/A          ,$42.59,2025-05-09,244948,,1,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
23444119 COVER,536550 YUKON INC O/A          ,$71.90,2025-05-09,244954,,1,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
84148825 EVAP VENT SOLENOID,536550 YUKON INC O/A          ,$42.77,2025-05-09,244954,,2,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
19420277 CAT CONVERTOR,536550 YUKON INC O/A          ,"$2,747.33",2025-05-09,244954,,3,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
19420277 CAT CORE,536550 YUKON INC O/A          ,$480.00,2025-05-09,244954,,4,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
15077362 EXH RING,536550 YUKON INC O/A          ,$24.81,2025-05-09,244954,,5,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
20987829 EXH DONUT,536550 YUKON INC O/A          ,$28.25,2025-05-09,244954,,6,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
11589264 NUTS,536550 YUKON INC O/A          ,$118.68,2025-05-09,244954,,7,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
15032594 STUDS,536550 YUKON INC O/A          ,$47.88,2025-05-09,244954,,8,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
84186138 LH DOOR CHECK,536550 YUKON INC O/A          ,$72.33,2025-05-09,244954,,9,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
19421425 DEXRON VI,536550 YUKON INC O/A          ,$76.23,2025-05-09,244954,,10,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
16641546 TAILGATE BOLT,536550 YUKON INC O/A          ,$34.04,2025-05-12,244965,,1,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"BLADE, WIPER",536550 YUKON INC O/A          ,$83.64,2025-05-12,244985,,1,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
12471590 FR PINION SEAL,536550 YUKON INC O/A          ,$42.51,2025-05-14,245062,,1,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"13540604, TPMS SENSOR",536550 YUKON INC O/A          ,$369.28,2025-05-14,245073,,1,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"84745944, FUEL DOOR ASSEMBLY",536550 YUKON INC O/A          ,$41.69,2025-05-14,245084,,1,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"84689444, CAP, FUEL",536550 YUKON INC O/A          ,$61.27,2025-05-14,245084,,2,5598,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
19383805 A/C CONDENSOR,536550 YUKON INC O/A          ,$460.59,2025-05-20,245143,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
13579649 SEAL,536550 YUKON INC O/A          ,$42.14,2025-05-20,245143,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
13579648 SEAL,536550 YUKON INC O/A          ,$29.31,2025-05-20,245143,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
10376176 FILLER ASSY,536550 YUKON INC O/A          ,$134.14,2025-05-21,245157,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
12737252 PURGE SOLENOID,536550 YUKON INC O/A          ,$75.34,2025-05-22,245165,,1,6043,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
84518407 W/W PUMP,536550 YUKON INC O/A          ,$45.81,2025-05-22,245171,,1,6043,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
84288723 RH TAIL LIGHT,536550 YUKON INC O/A          ,$312.09,2025-05-22,245171,,2,6043,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
23444131 CAP,536550 YUKON INC O/A          ,$49.32,2025-05-22,245171,,3,6043,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"84845497, RH HINGE, TAILGATE",536550 YUKON INC O/A          ,$69.75,2025-05-26,245239,,1,6043,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
19431764 TRANSMISSION,536550 YUKON INC O/A          ,"$4,928.88",2025-05-27,245243,,1,6043,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
19431764 TRANSMISSION CORE,536550 YUKON INC O/A          ,"$2,400.00",2025-05-27,245243,,2,6043,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
19421425 DEXRON VI,536550 YUKON INC O/A          ,$130.68,2025-05-27,245243,,3,6043,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
13579649 SEAL,536550 YUKON INC O/A          ,$21.07,2025-05-27,245243,,4,6043,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
13579648 O-RING,536550 YUKON INC O/A          ,$29.21,2025-05-27,245243,,5,6043,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"GASKET, REAR WHEEL",536550 YUKON INC O/A          ,$118.92,2025-05-27,245244,,1,6043,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"SEAL, REAR WHEEL",536550 YUKON INC O/A          ,$330.92,2025-05-27,245244,,2,6043,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
19420277 Y-PIPE,536550 YUKON INC O/A          ,"$2,747.33",2025-05-27,245262,,1,6043,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
19420277 CAT CORE,536550 YUKON INC O/A          ,$480.00,2025-05-27,245262,,2,6043,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
20987829 EXH SEAL,536550 YUKON INC O/A          ,$26.49,2025-05-27,245262,,3,6043,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
15077362 EXH SEAL,536550 YUKON INC O/A          ,$23.27,2025-05-27,245262,,4,6043,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
11546600 EXH MAN BOLTS,536550 YUKON INC O/A          ,$41.46,2025-05-27,245262,,5,6043,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
12617944 EXH MAN GASKET,536550 YUKON INC O/A          ,$37.64,2025-05-27,245262,,6,6043,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
23372322 KEY,536550 YUKON INC O/A          ,$62.37,2025-05-27,245265,,1,6043,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
NPN CUT CHARGE,536550 YUKON INC O/A          ,$22.00,2025-05-27,245265,,2,6043,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
86563317 P/S PUMP,536550 YUKON INC O/A          ,$447.19,2025-05-27,245270,,1,6043,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
10953471 P/S FLUID,536550 YUKON INC O/A          ,$49.14,2025-05-27,245270,,2,6043,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
12609269 DIPSTICK TUBE,536550 YUKON INC O/A          ,$41.71,2025-05-27,245276,,1,6043,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
23430312 - Air Filter,536550 YUKON INC O/A          ,$76.59,2025-05-28,245301,,1,6043,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
19421425 DEXRON VI,536550 YUKON INC O/A          ,$32.67,2025-05-30,245347,,1,6043,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
10953471 P/S FLUID,536550 YUKON INC O/A          ,$49.14,2025-05-30,245347,,2,6043,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
ENVIRO LEVY,536550 YUKON INC O/A          ,$1.50,2025-05-30,245347,,3,6043,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
10953471 P/S FLUID,536550 YUKON INC O/A          ,$49.14,2025-06-02,245362,,1,6043,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
10360721 SEAL,536550 YUKON INC O/A          ,$14.39,2025-06-02,245362,,2,6043,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
25776344 SEAL,536550 YUKON INC O/A          ,$34.56,2025-06-02,245362,,3,6043,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
15912027 SEAL,536550 YUKON INC O/A          ,$39.98,2025-06-02,245362,,4,6043,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
391230 - Impeller Paddle,J A LARUE INC                 ,$652.95,2025-04-01,244269,,1,5824,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
910021 - Impeller Bolt,J A LARUE INC                 ,$41.20,2025-04-01,244269,,2,5824,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
916707 - Impeller Nut,J A LARUE INC                 ,$20.80,2025-04-01,244269,,3,5824,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
371056 - Carbide Skid Shoe,J A LARUE INC                 ,$927.60,2025-04-01,244269,,4,5824,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
371152 - Carbide Skid Shoe,J A LARUE INC                 ,$320.00,2025-04-01,244269,,5,5824,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
$345.00 Freight,J A LARUE INC                 ,$345.00,2025-04-01,244269,,6,5824,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
346299 TRANS FILTER,J A LARUE INC                 ,$127.41,2025-04-04,244367,,1,5824,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
TRANSMISSION FILTER,J A LARUE INC                 ,$195.41,2025-04-08,244432,,1,5824,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,P,2025-26
391459 - Inner Slider Ring,J A LARUE INC                 ,$60.98,2025-05-07,244903,,1,5824,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
391149 - Bushing,J A LARUE INC                 ,$36.00,2025-05-07,244903,,2,5824,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
391150 - Roller Guide Wheel,J A LARUE INC                 ,$55.82,2025-05-07,244903,,3,5824,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
913732 - Bolt,J A LARUE INC                 ,$4.02,2025-05-07,244903,,4,5824,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
916757 - Stover Nut,J A LARUE INC                 ,$2.08,2025-05-07,244903,,5,5824,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
916136 - Washer,J A LARUE INC                 ,$4.48,2025-05-07,244903,,6,5824,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
391206 - Drum Abutment,J A LARUE INC                 ,$126.42,2025-05-07,244903,,7,5824,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
391447 - Front Abutment,J A LARUE INC                 ,$66.84,2025-05-07,244903,,8,5824,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
2833281 1X6X10' SPRUCE BOARDS,HOME HARDWARE BUILDING CENTRE ,$39.60,2025-04-15,244554,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
10018686  GASKET,ADVANCE TANK CENTER           ,$25.28,2025-05-23,245194,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
10056689  GASKET MATERIAL,ADVANCE TANK CENTER           ,$79.02,2025-05-23,245194,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
CAN11129 CANOPY STRUT,535733 YUKON INC O/A          ,$130.00,2025-04-04,244387,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"PROPANE REFILL, 20LB",CHIEF ISAAC INCORPORATED      ,$30.47,2025-04-15,244556,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
19216 HEATER SWITCH,CRESTLINE COACH LTD           ,$152.28,2025-04-14,244535,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
52756 ADAPTER CONN,CRESTLINE COACH LTD           ,$65.65,2025-04-16,244580,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
347-8068  RH RR FENDER,FINNING INTERNATIONAL INC     ,$981.23,2025-04-01,244277,,1,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
349-7878  RH RR FENDER EXT,FINNING INTERNATIONAL INC     ,$733.23,2025-04-01,244277,,2,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"FLUID, DIESEL EXHAUST (DEF) DRUM",FINNING INTERNATIONAL INC     ,"$3,719.04",2025-04-01,244281,,1,5842,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,P,2025-26
3170808 - O-ring,FINNING INTERNATIONAL INC     ,$205.00,2025-04-02,244299,,1,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
2147568 - O-ring,FINNING INTERNATIONAL INC     ,$217.40,2025-04-02,244299,,2,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
2147567 - O-ring,FINNING INTERNATIONAL INC     ,$203.40,2025-04-02,244299,,3,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
3K0360 - O-ring,FINNING INTERNATIONAL INC     ,$62.40,2025-04-02,244299,,4,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"5793313, (2002258) GASKET, WATER PUMP",FINNING INTERNATIONAL INC     ,$7.69,2025-04-02,244316,,1,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"1771058, PLUG",FINNING INTERNATIONAL INC     ,$15.42,2025-04-02,244316,,2,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
Freight $121.65,FINNING INTERNATIONAL INC     ,$121.65,2025-04-02,244316,,3,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"FILTER, FUEL",FINNING INTERNATIONAL INC     ,$226.10,2025-04-04,244372,,1,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"BIT, WBM BULLBLADE END RH",FINNING INTERNATIONAL INC     ,$95.58,2025-04-04,244372,,2,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"FILTER, AIR SECONDARY",FINNING INTERNATIONAL INC     ,$26.04,2025-04-04,244372,,3,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"FILTER, PRIMARY AIR",FINNING INTERNATIONAL INC     ,$247.77,2025-04-04,244372,,4,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"BELT, FAN                               30212",FINNING INTERNATIONAL INC     ,$169.22,2025-04-04,244372,,5,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"FILTER, TRANSMISSION",FINNING INTERNATIONAL INC     ,$125.40,2025-04-04,244372,,6,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"FILTER, AIR CABIN",FINNING INTERNATIONAL INC     ,$175.89,2025-04-04,244372,,7,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"BELT, SERPENTINE",FINNING INTERNATIONAL INC     ,$244.25,2025-04-04,244372,,8,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"FILTER, CRANKCASE BREATHER",FINNING INTERNATIONAL INC     ,$73.36,2025-04-04,244372,,9,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"FILTER, OIL",FINNING INTERNATIONAL INC     ,$231.42,2025-04-04,244372,,10,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
"FILTER, FUEL",FINNING INTERNATIONAL INC     ,$290.28,2025-04-04,244372,,11,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
ADJUSTMENT NUT (SLIDE CYLINDER ADJUSTMENT),FINNING INTERNATIONAL INC     ,$162.12,2025-04-04,244372,,12,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
WEAR STRIP - CIRCLE DRAWBAR (METAL),FINNING INTERNATIONAL INC     ,"$1,132.02",2025-04-04,244372,,13,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
320083129 - DEF Tote,FINNING INTERNATIONAL INC     ,"$1,164.76",2025-04-04,244389,,1,5842,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,P,2025-26
10R-0011  TURBO,FINNING INTERNATIONAL INC     ,"$5,185.40",2025-04-08,244426,,3,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
10R-0011CORE  CORE,FINNING INTERNATIONAL INC     ,"$2,201.62",2025-04-08,244426,,4,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
187-6294  OIL HOSE ASSY,FINNING INTERNATIONAL INC     ,$118.61,2025-04-08,244426,,5,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
246-6036  HOSE,FINNING INTERNATIONAL INC     ,$52.12,2025-04-08,244426,,6,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
197-8419  GASKET,FINNING INTERNATIONAL INC     ,$7.69,2025-04-08,244426,,7,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
210-9246  O-RING,FINNING INTERNATIONAL INC     ,$22.25,2025-04-08,244426,,8,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
284-3502  CLAMP,FINNING INTERNATIONAL INC     ,$24.46,2025-04-08,244426,,9,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
3E-8017  LOCKNUT,FINNING INTERNATIONAL INC     ,$58.88,2025-04-08,244426,,10,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
7C-7431  GASKET,FINNING INTERNATIONAL INC     ,$19.27,2025-04-08,244426,,11,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
10R-9237  REMAN INJECTOR KIT (SET OF 6),FINNING INTERNATIONAL INC     ,"$6,273.11",2025-04-08,244426,,12,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
10R-9237CORE  CORE,FINNING INTERNATIONAL INC     ,"$4,347.16",2025-04-08,244426,,13,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
418-6781    MJ10x1.5 TAPERLOCK STUD,FINNING INTERNATIONAL INC     ,$229.36,2025-04-08,244426,,14,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
272-1956  GASKET,FINNING INTERNATIONAL INC     ,$51.00,2025-04-08,244426,,15,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
172-6298  FLANGE HEAD BOLT,FINNING INTERNATIONAL INC     ,$275.04,2025-04-08,244426,,16,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
189-8772  SPACER,FINNING INTERNATIONAL INC     ,$457.36,2025-04-08,244426,,17,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
203-3768  SPACER,FINNING INTERNATIONAL INC     ,$296.64,2025-04-08,244426,,18,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
210-7722  FLANGE HEAD BOLT,FINNING INTERNATIONAL INC     ,$173.92,2025-04-08,244426,,19,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
320083172  GASKET MAKER-ANAEROBIC,FINNING INTERNATIONAL INC     ,$45.91,2025-04-08,244426,,20,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
144-7339  O-RING,FINNING INTERNATIONAL INC     ,$12.95,2025-04-08,244426,,21,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
185-3241  O-RING,FINNING INTERNATIONAL INC     ,$43.75,2025-04-08,244426,,22,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
4F-9653  O-RING,FINNING INTERNATIONAL INC     ,$9.79,2025-04-08,244426,,23,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
3P-1156  O-RING,FINNING INTERNATIONAL INC     ,$35.96,2025-04-08,244426,,24,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
7W-5340  GASKET,FINNING INTERNATIONAL INC     ,$2.88,2025-04-08,244426,,25,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
261-3816  GASKET,FINNING INTERNATIONAL INC     ,$122.69,2025-04-08,244426,,26,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
5P-5678  ENGINE RIBBON SEAL (PER METER),FINNING INTERNATIONAL INC     ,$161.76,2025-04-08,244426,,27,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
7E-0759  HOSE,FINNING INTERNATIONAL INC     ,$12.94,2025-04-08,244426,,28,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
115-4223  TEMP REGULATOR,FINNING INTERNATIONAL INC     ,$103.60,2025-04-08,244426,,29,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
222-5915  GASKET,FINNING INTERNATIONAL INC     ,$5.32,2025-04-08,244426,,30,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
347-4163  CLAMP,FINNING INTERNATIONAL INC     ,$21.82,2025-04-08,244426,,31,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
20R-0586  REMAN WATER PUMP,FINNING INTERNATIONAL INC     ,$504.29,2025-04-08,244426,,32,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
20R-0586CORE  CORE,FINNING INTERNATIONAL INC     ,$372.22,2025-04-08,244426,,33,5579,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2025-26
